uri:/instrument/1.0/ibm/chartdata;type=quote;range=1y/csv
ticker:ibm
Company-Name:International Business Machines
Exchange-Name:NYQ
unit:DAY
timestamp:
first-trade:19620102
last-trade:20140731
currency:USD
previous_close_price:195.0400
Date:20130801,20140731
labels:20130801,20130903,20131001,20131101,20131202,20140102,20140203,20140303,20140401,20140501,20140602,20140701
values:Date,close,high,low,open,volume
close:172.8000,197.7700
high:173.7500,199.2100
low:172.1900,195.8800
open:172.1900,198.0500
volume:1613600,22368900
20131107,180.0000,181.3900,179.6000,179.6000,5219500
20131108,179.9900,180.0800,177.3500,178.8300,6275000
20131111,182.8800,183.3900,180.0400,180.1900,5222300
20131112,183.0700,184.0500,182.2600,182.5300,4258500
20131113,183.5500,183.5500,181.5900,182.2700,4704400
20131114,182.2100,183.2000,179.6600,180.4800,6321500
20131115,183.1900,183.2800,181.1600,182.3800,5176100
20131118,184.4700,184.9900,183.2700,183.5200,5344900
20131119,185.2500,186.2000,184.1500,184.6300,4577000
20131120,185.1900,186.2400,184.6500,185.2200,3645800
20131121,184.1300,185.7500,183.4100,185.5400,4459500
20131122,181.3000,184.9900,179.9200,183.5000,7610200
20131125,178.9400,180.7500,177.8200,180.2500,7161900
20131126,177.3100,178.9400,177.3100,178.6700,5756000
20131127,178.9700,180.1800,177.8200,177.8300,4596500
20131129,179.6800,180.7600,179.0000,179.2100,2870500
20131202,177.4800,179.5900,177.1200,179.4600,4560000
20131203,176.0800,178.2300,175.6400,177.0000,5864000
20131204,175.7400,177.5000,175.1600,175.3700,5267400
20131205,176.0800,176.8600,175.2800,176.1500,4384900
20131206,177.6700,178.0000,176.0100,176.7000,4739800
20131209,177.4600,178.1500,176.8300,177.9900,3796600
20131210,177.1200,177.6700,176.0600,176.9000,4127800
20131211,175.2000,177.7600,175.1000,177.0000,4090400
20131212,173.3700,175.8000,173.3000,175.0600,5671600
20131213,172.8000,174.3800,172.7300,173.5200,4184400
20131216,177.8500,178.3500,172.7300,173.2200,7517000
20131217,175.7600,177.4900,175.1200,177.3600,5471900
20131218,178.7000,178.7400,174.8500,176.4500,5697700
20131219,180.2200,180.5400,177.8800,177.8800,5927000
20131220,180.0200,182.0000,180.0200,180.1200,7653500
20131223,182.2300,182.9300,180.6100,181.0500,4079900
20131224,183.2200,183.5000,181.9100,181.9600,1613600
20131226,185.3500,185.5600,183.5100,183.5600,3325700
20131227,185.0800,186.5000,184.5600,185.8400,3381600
20131230,186.4100,186.7000,184.6700,185.3200,3018600
20131231,187.5700,187.7900,186.3000,186.4900,3619700
20140102,185.5300,187.4000,185.2000,187.2100,4546500
20140103,186.6400,187.3500,185.3000,185.8300,4063200
20140106,186.0000,187.3600,185.3000,187.1500,4067800
20140107,189.7100,190.3500,186.3800,186.3900,5932300
20140108,187.9700,189.4200,187.2600,189.3300,4603700
20140109,187.3800,189.5000,186.5500,189.0200,4321300
20140110,187.2600,188.5700,186.2800,188.3100,4022400
20140113,184.1600,186.9500,183.8600,186.2600,5784700
20140114,185.9200,186.4300,183.8800,185.0600,4619200
20140115,187.7400,188.6500,185.4900,185.8200,4816500
20140116,188.7600,188.9900,186.8000,187.5300,4770300
20140117,190.0900,190.8100,187.8600,188.0400,7644600
20140121,188.4300,190.3900,186.7900,190.2300,11076300
20140122,182.2500,183.5000,179.6700,181.2800,13796100
20140123,182.7300,183.7200,180.7100,181.4300,6973900
20140124,179.6400,182.8100,179.6400,181.2500,6890600
20140127,177.9000,179.6500,177.6600,179.6100,5208600
20140128,176.8500,178.4500,176.1600,178.0500,5333300
20140129,176.4000,178.5300,175.8900,175.9800,4970900
20140130,177.3600,177.8600,176.3600,177.1700,4853700
20140131,176.6800,177.8400,175.3400,176.1100,5193400
20140203,172.9000,176.0200,172.7200,176.0200,7186800
20140204,172.8400,173.7500,172.3600,173.5300,4349800
20140205,174.2400,174.9700,172.1900,172.1900,4712300
20140206,174.6700,174.8500,173.7900,173.9700,4292200
20140207,177.2500,177.5600,175.0700,175.6400,4692900
20140210,177.1400,177.6500,176.2500,176.9700,3540400
20140211,179.7000,180.3900,176.8000,176.8100,4647300
20140212,180.2400,181.2500,179.2600,179.5200,3983000
20140213,181.8400,182.3600,177.8600,178.2200,4482000
20140214,183.6900,184.4300,180.9900,181.2600,4659900
20140218,183.1900,184.0000,182.3200,183.1800,4435200
20140219,182.9500,185.6500,182.4100,182.7400,4671500
20140220,184.2600,184.8600,182.7900,182.9600,4968200
20140221,182.7900,185.7100,182.6200,184.2500,5699300
20140224,183.4500,185.1600,182.8200,182.8200,4595300
20140225,183.2300,184.6000,182.8800,183.5200,3902300
20140226,184.0600,185.2800,183.5600,183.9400,3740700
20140227,185.2700,185.9500,183.8100,183.8300,3827800
20140228,185.1700,186.1200,183.6500,185.3800,4667900
20140303,184.2600,184.6400,182.8200,183.3300,3950100
20140304,186.4400,187.1600,185.6800,185.8100,4733000
20140305,187.1400,187.9500,186.4000,186.5700,3485200
20140306,187.6400,188.3900,186.9000,187.3700,3817300
20140307,187.6800,188.9200,187.1800,188.3500,4117800
20140310,186.3900,188.3700,185.8500,187.5500,4591200
20140311,186.7600,188.4500,186.0400,187.4100,4229500
20140312,186.2200,187.4500,185.8900,186.0100,4833000
20140313,183.9000,187.0000,183.7100,186.4100,4913200
20140314,182.2100,184.2900,182.2100,183.8900,5490300
20140317,185.8100,186.3500,182.6600,182.6600,4938100
20140318,186.8100,187.9000,185.5400,185.9900,3961300
20140319,184.7100,186.7000,183.5000,185.6000,4323900
20140320,187.9000,188.2600,184.1700,184.4700,5062600
20140321,186.6700,188.7000,186.4000,188.5000,12535200
20140324,188.2500,189.4400,187.3700,187.4300,5738500
20140325,195.0400,195.4000,188.7000,188.7600,10912700
20140326,192.6200,195.6300,191.9600,194.9800,6851700
20140327,189.8300,192.6700,189.3200,191.9100,6767700
20140328,190.4500,192.6200,189.1100,189.9400,5194400
20140331,192.4900,193.7700,191.4000,191.6400,8537300
20140401,194.5000,195.1300,192.7800,193.1200,5394100
20140402,193.5500,194.5000,192.4900,194.2400,4924100
20140403,192.6900,193.3800,192.3500,193.2000,4091100
20140404,191.7700,193.9700,191.2800,193.1200,6089900
20140407,194.5200,195.3100,191.5700,191.7200,6740500
20140408,193.2900,194.1700,192.6900,193.8900,5125000
20140409,196.6400,197.0000,193.6000,193.8800,5480100
20140410,195.6800,199.2100,195.6600,196.0600,8417900
20140411,195.1900,197.0000,194.2700,195.0400,4835000
20140414,197.7700,198.2400,195.8800,196.2400,5431100
20140415,197.0200,197.4100,195.4200,195.9800,5351300
20140416,196.4000,198.7100,195.0000,198.0500,8527300
20140417,190.0100,190.7000,187.0100,187.2500,11255500
20140421,192.2700,192.8100,189.7400,189.8000,5419700
20140422,192.1500,193.0000,191.2000,192.0100,3878600
20140423,191.7300,192.4100,190.1100,191.7900,4736400
20140424,190.2200,192.2200,190.0300,192.2200,4407100
20140425,189.6300,190.6700,189.1100,190.5400,3871000
20140428,193.1400,193.9900,190.5800,191.1400,5638300
20140429,195.1100,195.9400,193.4100,193.5900,4626300
20140430,196.4700,196.8600,194.3500,194.3800,4206800
20140501,193.5300,196.7400,193.1500,196.3100,3674000
20140502,191.4400,193.8400,191.2500,193.7500,3049900
20140505,191.2600,191.4900,189.8000,191.0500,2222100
20140506,190.0300,190.9500,189.2500,190.9300,3188700
20140507,189.3000,190.3000,186.9300,189.3400,3821000
20140508,188.9100,190.5700,188.2300,189.1600,2431900
20140509,190.0800,190.5900,188.3700,188.9800,2261600
20140512,192.5700,193.0200,190.9400,191.1200,3777400
20140513,192.1900,193.0300,191.7600,192.7900,2226600
20140514,188.7200,191.9900,188.1700,191.9100,5251500
20140515,186.4600,189.0800,186.1800,189.0700,4202200
20140516,187.0600,187.4100,185.9300,186.2700,3949500
20140519,187.0000,187.1300,186.0400,186.6100,3270700
20140520,184.8900,186.7000,184.7000,186.2500,3026500
20140521,186.3900,187.1600,184.9500,185.8500,2988000
20140522,185.6800,186.4500,185.0300,186.4500,2218000
20140523,185.9400,186.1400,185.3100,185.8400,2562900
20140527,184.7800,185.6500,183.9300,184.8000,4793800
20140528,183.0800,184.8800,182.9400,184.4800,3721600
20140529,183.7600,183.7800,182.3300,183.6400,2759900
20140530,184.3600,184.5700,182.4900,183.3800,4620500
20140602,185.6900,186.2800,184.6700,184.7600,3200500
