Date,close,high,low,open,volume
20070618,104.4400,107.0200,104.4400,105.2700,7010200
20070625,105.2500,106.9200,104.1000,104.7300,6311820
20070702,109.0300,109.6600,104.5800,105.3900,6141825
20070709,108.6000,109.6500,108.1000,108.7300,6962320
20070716,114.8100,116.4800,108.4200,108.5700,11125220
20070723,115.6200,118.8200,114.8500,114.8800,12968200
20070730,111.8900,115.7500,110.0200,115.0000,13238420
20070806,112.6400,114.6000,109.7000,111.9700,8325300
20070813,110.9000,113.9500,103.7000,112.9900,11077780
20070820,113.2400,113.2500,108.0800,110.9000,7991540
20070827,116.6900,117.3500,111.6300,113.0000,6523580
20070904,115.5500,118.8900,115.3300,116.3400,7229075
20070910,115.1300,117.7800,114.6500,116.1500,6442260
20070917,116.7800,118.1000,114.3000,114.7000,7615360
20070924,117.8000,118.5000,115.7900,116.9000,6605880
20071001,116.3000,119.6000,115.0000,117.6100,6705960
20071008,117.8100,121.4600,115.8800,116.1000,7016460
20071015,112.2800,119.9400,111.8000,117.9500,10791760
20071022,113.7300,114.8000,110.9600,110.9700,6552520
20071029,114.5900,116.2500,113.2800,113.9000,6008940
20071105,100.2500,115.1100,99.2700,115.1100,12543660
20071112,104.7900,106.4200,100.7000,101.8900,10020540
20071119,104.0500,105.3900,101.3400,104.3400,6955125
20071126,105.1800,109.1900,101.5000,104.2600,9313980
20071203,108.8600,110.0000,104.5800,105.5500,6334400
20071210,105.7700,110.4000,104.1000,109.3800,7345140
20071217,111.0500,111.1600,104.0000,105.3700,8696340
20071224,110.0900,112.1900,109.1100,111.2000,4134975
20071231,101.1300,110.0000,100.4800,109.5100,8449825
20080107,97.6700,101.0000,97.0400,100.2500,10520300
20080114,103.4000,106.7200,100.0500,105.0100,15625259
20080122,104.5200,107.7900,98.5000,98.5500,14442175
20080128,109.0800,109.4000,103.7000,104.4400,7801500
20080204,103.2700,109.0000,100.6000,108.6700,8128300
20080211,106.1600,108.9300,102.8700,103.0500,6786580
20080219,108.0700,109.6000,104.5300,106.9400,7823150
20080225,113.8600,116.6300,107.4300,107.4300,10873340
20080303,113.9400,116.4100,111.8000,113.8600,7901300
20080310,115.2300,118.0000,112.6900,113.1200,9718920
20080317,118.3300,118.5000,113.0000,113.0000,9994775
20080324,114.5700,119.7900,114.2100,118.5700,8299360
20080331,115.7600,118.3700,113.3400,114.1500,8475260
20080407,116.0000,119.2200,115.2800,116.3700,7797940
20080414,124.4000,125.0000,115.5400,116.2000,13439041
20080421,123.0800,124.9000,122.0500,123.6200,6454740
20080428,123.1800,124.4300,120.5000,122.6100,7221260
20080505,124.0600,125.1700,120.7800,122.2900,7794680
20080512,127.8200,128.8300,123.5600,123.8200,8169700
20080519,124.2000,128.2100,123.0200,127.6800,6293920
20080527,129.4300,129.9900,124.0000,124.0100,8269800
20080602,124.9400,129.3700,124.7400,128.4900,7061860
20080609,126.1500,126.7200,122.8600,125.3800,6260720
20080616,122.7400,127.1400,122.3600,125.4600,7073580
20080623,120.0500,125.8300,118.2600,123.0000,8381540
20080630,119.5400,120.7800,116.6000,120.0300,8179200
20080707,122.1200,124.5000,119.6200,119.6200,9469220
20080714,129.8900,130.0000,119.9000,123.5100,11908540
20080721,128.5300,130.9300,127.2600,129.8300,9190060
20080728,126.6400,129.5000,126.1300,127.6900,5739860
20080804,128.8100,129.9700,126.2500,126.7700,6882780
20080811,126.3600,128.4300,124.4000,128.4300,6544840
20080818,124.9300,127.0000,121.5500,126.4900,6891480
20080825,121.7300,125.4500,121.5000,124.4800,6098720
20080902,114.3300,124.0000,113.1700,122.8700,10502900
20080908,118.9700,119.9500,115.0000,118.0000,9356760
20080915,118.8500,124.0000,110.6100,115.3600,13261420
20080922,119.4200,121.9900,114.1400,118.4500,6946120
20080929,103.4400,118.4300,103.0300,117.4400,12561820
20081006,87.7500,103.0000,83.5100,101.2100,17369780
20081013,90.7800,99.0000,84.3500,90.4400,15009720
20081020,82.0700,93.3100,78.8200,92.2100,11661380
20081027,92.9700,94.1900,79.0100,80.2700,12107420
20081103,86.2700,94.7600,84.2500,92.6400,9403060
20081110,80.3300,88.1000,75.4000,87.9900,11638880
