uri:/instrument/1.0/ibm/chartdata;type=quote;range=5y/csv
ticker:ibm
Company-Name:International Business Machines
Exchange-Name:NYQ
unit:WEEK
timestamp:
first-trade:19620102
last-trade:20140731
currency:USD
previous_close_price:117.9300
Date:20090803,20140728
labels:20090803,20091005,20100104,20100405,20100706,20101004,20110103,20110404,20110705,20111003,20120103,20120402,20120702,20121001,20130107,20130401,20130701,20131007,20140106,20140407,20140707
values:Date,close,high,low,open,volume
close:117.4600,214.9200
high:118.9300,215.9000
low:115.1500,210.1100
open:116.6900,212.9000
volume:2474740,12202725
20100216,127.1900,128.0600,124.1100,124.9100,6108425
20100222,127.1600,128.2700,125.5700,127.3000,4724980
20100301,127.2500,129.0900,125.4700,127.5000,5830700
20100308,127.9400,128.3700,125.2000,127.0600,6747200
20100315,127.7100,128.9300,126.7800,127.4000,6535940
20100322,129.2600,130.7300,126.5700,127.1100,6290740
20100329,128.2500,129.9500,127.5500,129.3000,4488725
20100405,128.7600,129.8000,127.1200,128.3800,4878800
20100412,130.6300,132.1700,127.8400,128.5700,7065740
20100419,129.9900,132.2800,127.7700,130.3800,9269040
20100426,129.0000,132.0000,128.7100,129.7600,7075600
20100503,122.1000,130.1400,116.0000,129.3900,8620700
20100510,131.1900,133.1000,125.0600,126.2700,10401520
20100517,125.4200,131.9900,121.4000,130.6800,10547740
20100524,125.2600,126.3900,121.4700,125.2600,8118880
20100601,125.2800,128.2200,124.2000,124.6900,7788800
20100607,128.4500,128.8000,122.8200,125.5700,7289200
20100614,130.1500,131.2500,128.3400,128.5000,6991780
20100621,127.1200,131.9400,127.1200,131.4200,7145940
20100628,121.8600,129.4700,120.6100,127.6500,7985180
20100706,127.9600,128.2000,122.1700,123.5800,5694075
20100712,128.0300,131.6000,127.1600,127.3700,6138300
20100719,128.3800,130.3800,122.9300,128.6700,9065700
20100726,128.4000,129.5000,127.0400,128.1800,5817420
20100802,130.1400,131.9800,128.7600,129.2500,5350720
20100809,127.8700,132.4900,127.3300,130.7900,5544220
20100816,127.5000,130.2000,126.9600,127.4700,4967880
20100823,124.7300,128.0300,122.4200,127.5700,5770340
20100830,127.5800,127.6000,122.2800,125.0800,5019500
20100907,127.9900,128.2900,125.3900,126.9900,4171550
20100913,130.1900,130.6000,128.4300,128.6300,5993340
20100920,134.1100,134.1500,130.1100,130.2400,5671400
20100927,135.6400,136.2800,133.5100,133.5100,6166980
20101004,138.8500,139.0900,134.3900,135.2300,5205400
20101011,141.0600,142.1000,138.2700,138.7900,6259880
20101018,139.6700,143.0300,136.7000,140.9000,8350760
20101025,143.6000,144.0000,138.5300,140.4200,6516660
20101101,146.9200,146.9300,142.3200,143.6400,5420280
20101108,143.7400,147.5300,143.3500,145.3500,4963200
20101115,145.0500,145.3500,141.1800,143.8900,4841560
20101122,143.9000,146.4400,142.3300,144.0000,3814100
20101129,145.3800,145.8500,141.2800,143.5300,5724500
20101206,144.8200,146.3000,143.5200,144.5400,4204180
20101213,145.0000,146.0100,144.1500,145.1400,5638960
20101220,145.8900,146.4000,144.3300,145.3900,3396350
20101227,146.7600,147.5000,145.0000,145.1200,2936860
20110103,147.9300,148.8600,146.6400,147.2100,4697240
20110110,150.0000,150.0000,146.7500,147.5800,3975700
20110118,155.5000,156.7800,149.3800,149.8200,8941700
20110124,159.2100,164.3500,155.3300,155.4200,6500580
20110131,164.0000,164.2000,158.6800,159.1800,5074220
20110207,163.8500,166.2500,163.1800,164.0800,5219460
20110214,164.8400,164.8400,162.5200,164.1800,3718000
20110222,162.2800,164.2600,159.0300,163.5700,5358325
20110228,161.8300,164.3100,159.4100,162.3600,4307460
20110307,162.4300,167.7200,158.8500,161.6000,6219160
20110314,155.8900,161.9800,151.7100,161.1600,8359600
20110321,162.1800,162.7400,157.0700,157.6400,5074360
20110328,164.2700,164.4200,161.1200,161.5400,3813260
20110404,164.0500,164.7500,163.1600,164.4200,3520540
20110411,166.2100,166.3400,162.3000,163.4400,4433600
20110418,168.2800,168.4500,162.1900,164.6400,7439500
20110425,170.5800,173.0000,167.2300,167.6500,5371780
20110502,168.8900,173.5400,167.5000,172.1100,5893120
20110509,169.9200,172.7700,167.8200,168.3900,4699740
20110516,170.1600,171.4100,166.5300,169.8100,5199580
20110523,167.5000,168.6900,165.9000,168.5800,4543720
20110531,165.0500,169.8900,164.1300,168.4400,5835650
20110606,163.1800,165.9600,162.8700,164.7600,4128120
20110613,164.4400,165.1000,161.5200,164.4400,5877120
20110620,165.0700,166.8100,163.5900,163.7000,4595600
20110627,174.5400,174.6500,165.2100,165.7400,4680140
20110705,176.4900,177.7700,173.5200,173.5200,5194475
20110711,175.5400,176.3200,173.8400,174.9000,4767660
20110718,185.1800,185.6300,173.5800,174.7300,7500180
20110725,181.8500,184.9600,179.7300,183.8900,5258880
20110801,172.9800,183.6900,166.5200,182.6000,8245840
20110808,168.2000,172.6100,161.8500,168.8300,11335740
20110815,157.5400,174.0000,157.1300,171.3200,9502340
20110822,169.1400,169.3300,157.6200,161.3500,6757840
20110829,166.9800,173.7200,166.0000,170.5800,5257660
20110906,161.3700,169.5800,160.8100,163.0600,6332225
20110912,172.9900,172.9900,158.7600,160.0400,6692840
20110919,169.3400,177.6700,165.7600,169.5000,6358100
20110926,174.8700,180.9100,169.8600,170.9600,7373680
20111003,182.3900,183.7200,168.8800,174.3600,7623560
20111010,190.5300,190.5300,182.9000,183.0000,5244180
20111017,181.6300,190.1600,176.1700,189.7100,9359200
20111024,187.4500,188.0700,179.0300,181.5100,5743800
20111031,186.3800,187.7800,180.7400,185.5900,4583780
20111107,187.3800,187.8800,181.1600,186.2200,4180620
20111114,185.2400,189.9700,183.3900,189.1700,5104420
20111121,177.0600,183.9600,177.0600,183.3700,4089350
20111128,189.6600,191.3300,180.6700,182.7100,5168720
20111205,194.5600,194.9000,190.3200,191.1800,4828580
20111212,183.5700,194.3000,181.9100,193.6400,6037220
20111219,184.7500,187.3300,179.0400,184.5100,5433360
20111227,183.8800,186.4800,183.3400,184.9700,3029925
20120103,182.5400,188.7100,182.3100,186.7300,4838225
20120109,179.1600,183.7200,177.3500,182.2000,5326640
20120117,188.5200,188.9700,179.3200,180.3600,8005225
20120123,190.4600,192.7900,187.6700,187.9100,4564440
20120130,193.6400,194.8100,188.2200,189.3900,4540720
20120206,192.4200,194.4600,191.2800,192.4800,3628820
20120213,193.4200,193.8600,190.8300,193.3100,3429960
20120221,197.7600,199.2300,192.4600,193.7300,4488825
20120227,198.8100,199.1700,196.1000,196.7800,3866120
20120305,200.6200,201.1900,196.8100,198.3600,4364720
20120312,206.0100,207.5200,200.2300,200.9300,5169220
20120319,205.4800,206.5300,203.7000,205.7100,3426440
20120326,208.6500,209.1200,206.0200,206.4500,3201460
20120402,205.4700,210.6900,204.4600,208.9600,3923100
